TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
----------,-----------,---------,-----------
AuditLogs,AuditID,int,NO
AuditLogs,Username,varchar,YES
AuditLogs,Operation,varchar,YES
AuditLogs,ObjectName,varchar,YES
AuditLogs,ObjectType,varchar,YES
AuditLogs,OperationDate,datetime,YES
Customers,CustomerID,int,NO
Customers,FullName,varchar,YES
Customers,Phone,varchar,YES
Customers,Address,varchar,YES
Customers,City,varchar,YES
Departments,DepartmentID,int,NO
Departments,DepartmentName,varchar,NO
InboundShipments,ShipmentID,int,NO
InboundShipments,SupplierID,int,NO
InboundShipments,ArrivalDate,datetime,YES
InboundShipments,Status,varchar,YES
InventoryMovements,MovementID,int,NO
InventoryMovements,UID,bigint,NO
InventoryMovements,FromLocation,int,YES
InventoryMovements,ToLocation,int,YES
InventoryMovements,MovementType,varchar,YES
InventoryMovements,MovementDate,datetime,YES
LoginAudit,LoginID,int,NO
LoginAudit,Username,varchar,YES
LoginAudit,LoginTime,datetime,YES
OrderItems,OrderItemID,int,NO
OrderItems,OrderID,int,NO
OrderItems,ProductID,int,NO
OrderItems,Quantity,int,YES
Orders,OrderID,int,NO
Orders,CustomerID,int,NO
Orders,OrderDate,datetime,YES
Orders,Status,varchar,YES
Products,ProductID,int,NO
Products,SKU,varchar,NO
Products,ProductName,varchar,NO
Products,Category,varchar,YES
Products,Weight,decimal,YES
Products,Dimensions,varchar,YES
Products,CreatedAt,datetime,YES
ProductUnits,UID,bigint,NO
ProductUnits,ProductID,int,NO
ProductUnits,SerialNumber,varchar,YES
ProductUnits,Status,varchar,YES
ProductUnits,LocationID,int,YES
ProductUnits,ReceivedDate,datetime,YES
Roles,RoleID,int,NO
Roles,RoleName,varchar,NO
Suppliers,SupplierID,int,NO
Suppliers,CompanyName,varchar,YES
Suppliers,ContactName,varchar,YES
Suppliers,Phone,varchar,YES
Suppliers,Address,varchar,YES
Users,UserID,int,NO
Users,Username,varchar,NO
Users,PasswordHash,varchar,NO
Users,RoleID,int,NO
Users,DepartmentID,int,NO
Users,IsActive,bit,YES
Users,CreatedAt,datetime,YES
vw_CurrentInventory,ProductName,varchar,NO
vw_CurrentInventory,SKU,varchar,NO
vw_CurrentInventory,UID,bigint,NO
vw_CurrentInventory,Status,varchar,YES
vw_CurrentInventory,WarehouseLocation,varchar,YES
vw_InventorySummary,ProductName,varchar,NO
vw_InventorySummary,SKU,varchar,NO
vw_InventorySummary,Quantity,int,YES
vw_PendingOrders,OrderID,int,NO
vw_PendingOrders,FullName,varchar,YES
vw_PendingOrders,OrderDate,datetime,YES
vw_PendingOrders,Status,varchar,YES
vw_PendingOrdersSummary,OrderID,int,NO
vw_PendingOrdersSummary,FullName,varchar,YES
vw_PendingOrdersSummary,OrderDate,datetime,YES
vw_TopProducts,ProductName,varchar,NO
vw_TopProducts,OrdersCount,int,YES
WarehouseLocations,LocationID,int,NO
WarehouseLocations,WarehouseID,int,NO
WarehouseLocations,Zone,varchar,YES
WarehouseLocations,Aisle,varchar,YES
WarehouseLocations,Rack,varchar,YES
WarehouseLocations,Shelf,varchar,YES
WarehouseLocations,Bin,varchar,YES
WarehouseLocations,Capacity,int,YES
WarehouseLocations,CurrentLoad,int,YES
Warehouses,WarehouseID,int,NO
Warehouses,WarehouseName,varchar,YES
Warehouses,Address,varchar,YES

(90 rows affected)
